name,address,zipcode,telephone
Crossroads Community Services,"108 East 51 Street, New York, NY, 10022",10022,(212) 378-0229
Food Bank for New York City - West Harlem,"252 W 116th Street, New York, NY, 10026",10026,(212) 665-9082
Bowery Mission,"227 Bowery, New York, NY, 10002",10002,(212) 674-3456
Momentum Project - St. Peter's Lutheran Church,"619 Lexington Ave. , New York, NY, 10022",10022,(212) 935-2200
Middle Collegiate Church,"50 East 7th Street, New York, NY, 10003",10003,(212) 477-0666
Love Kitchen,"3816 9th Ave., New York, NY, 10034",10034,(212) 304-1193
Little Sisters Of Assumption Family Health Service,"333 E. 115th Street, New York, NY, 10029",10029,(646) 672-5200
Liberation Healing Pentecostal Church,"214 E. 111th St., New York, NY, 10029",10029,(212) 831-3938
Jewish Community Council Of Washington Heights,"121 Bennett Ave, New York, NY, 10033",10033,(212) 568-5450
Iris House,"2271 2nd Ave, New York, NY, 10035",10035,(212) 423-9049
Jan Hus Presbyterian Church Homeless Outreach And Advocacy Program (hoap),"351 E. 74th Street, New York, NY, 10021",10021,(212) 288-6743
Holy Trinity Neighborhood Ctr.,"316 E. 88th St., New York, NY, 10128",10128,(212) 289-4515
Franciscan Community Center,"214 West 97th Street, New York, NY, 10025",10025,(212) 932-8040
Greater Central Baptist Church,"2152-58 5th Ave., New York, NY, 10037",10037,(212) 234-3828
Convent Avenue Baptist Church,"420 W. 145th Street, New York, NY, 10031",10031,(212) 234-6767
Holy Apostles Soup Kitchen,"296 9th Ave, New York, NY, 10001",10001,(212) 807-6799
Grand Central Neighborhood Social Services Corp,"120 E. 32nd St, New York, NY, 10016",10016,212-883-0680
Graffiti Community Ministries,"205 East 7th Street, New York, NY, 10009",10009,(212) 473-0044
God's Love We Deliver,"166 Avenue Of The Americas, New York, NY, 10013",10013,(212) 294-8102
Gay Men''s Health Crisis,"135 W 23rd Street, New York, NY, 10011",10011,(212) 924-1452
Friendly Hands Ministry Inc.,"225 E. 118th Street, New York, NY, 10035",10035,(646) 360-4418
Food Bank For NYC,"39 Broadway, New York, NY, 10006",10006,(212) 566-7855
First Corinthian Baptist Church,"1912 Adam Clayton Powell Jr. Blvd., New York, NY, 10026",10026,(212) 864-5976
Father's Heart Ministries,"543-545 East 11th Street, New York, NY, 10009",10009,(212) 375-1766
Faith Mission Christian Fellowship,"160-164 W. 129th St., New York, NY, 10027",10027,(212) 662-3661
Faces NY,"123 W. 115th St., New York, NY, 10026",10026,(212) 663-7772
Emmaus House,"160 W 120 Street, New York, NY, 10027",10027,(212) 749-9404
Emmanuel Ame Church,"37-41 West 119th Street, New York, NY, 10026",10026,(212) 722-3969
Boriken Neighborhood Health Center,"150 E. 121st St., New York, NY, 10035",10035,(212) 289-6650
Dewitt Reformed Church Food Pantry,"280 Rivington St., New York, NY, 10002",10002,(212) 674-3341
Covenant House ,"460 W. 41st St., New York, NY, 10036",10036,(212) 613-0300
Covenant Avenue Baptist Church Food Pantry,"420 W. 145th St, New York, NY, 10031",10031,(212) 234-6767
Community League Of The Heights,"500 W. 159th Street, New York, NY, 10032",10032,(212) 795-4779
City Meals On Wheels,"355 Lexington Avenue, New York, NY, 10017",10017,(212) 687-1234
University Community Social Services - Meatloaf Kitchen,"137 East 2nd St, New York, NY, 10009",10009,(917) 754-9878
Church Of The Crucifixion,"459 W. 149 Street, New York, NY, 10031",10031,(212) 281-0900
Church Of The Ascension,"12 West 11th Street, New York, NY, 10011",10011,(212) 254-6520
Church Of The Annunciation,"88 Convent Ave., New York, NY, 10027",10027,(212) 234-1919
Christ And St. Stephen''s Church,"120 W. 69th Street, New York, NY, 10023",10023,(212) 787-2755
Church Of God,"1800 Third Avenue, New York, NY, 10029",10029,(212) 876-7461
"Childs Memorial Temple, Church Of God In Christ","1763 Amsterdam Ave, New York, NY, 10031",10031,(212) 368-0668
Chambers Memorial Baptist Church,"219 East 123rd St., New York, NY, 10035",10035,(347) 600-9823
Central Synogogue Breakfast Program,"123 E. 55th St, New York, NY, 10022",10022,(212) 838-5122
Catholic Charities Community Services - Lt. Joseph P. Kennedy Memorial Center,"34 West 134th Street, New York, NY, 10002",10002,(212) 862-6401
Cathedral Community Cares,"1047 Amsterdam Ave, New York, NY, 10025",10025,(212) 316-7540
The Parish of Calvary-St. George's Olmsted Hall,"209 East 16 Street, New York, NY, 10003",10003,(212) 475-0830
Cabrini Immigrant Services,"139 Henry St., New York, NY, 10002",10002,(212) 791-4590
Broadway Community Inc,"610 W. 114th St., New York, NY, 10025",10025,(212) 864-6100
BRC Project Rescue,"131 West 25th Street, New York, NY, 10001",10001,(212) 803-5700
Billy Roberts House Of Hope Soul Saving Station,"302 W. 124th Street, New York, NY, 10027",10027,(212) 662-9425
Blessed Sacrament Church ,"152 West 71st Street, New York, NY, 10023",10023,(212) 877-3111
Bethel A.M.E. Church,"54-60 West 132nd St, New York, NY, 10037",10037,(212) 864-6100
Beth Hark Christian Counseling Center,"2-26 East 120th Street, New York, NY, 10035",10035,(212) 860-1523
Baptist Temple Church,"20 West 116th Street, New York, NY, 10026",10026,(212) 996-0334
Barrier Free Living,"270 E 2nd St, New York, NY, 10009",10009,(212) 505-7792
Bailey House,"1751 Park Avenue, 3rd Floor, New York, NY, 10035",10035,(212) 633-2500
Abounding Grace Ministries,"428 East 10th Street, New York, NY, 10003",10003,(212) 614-0370
American Indian Community House,"39 Eldridge St. 4th Floor, New York, NY, 10002",10002,(331) 901-0011
All Saints Episcopal Church,"230 E. 60th St., New York, NY, 10022",10022,(212) 758-0447
Coalition for the Homeless,"129 Fulton St, New York, NY, 10038",10038,(212) 776-2000
Mt. Olivet Baptist Church Community Meals Program,"201 Lenox Ave, New York, NY, 10027",10027,(212) 864-1155
Mt. Zion AME Church Soup Kitchen,"1765 Madison Ave, New York, NY, 10029",10029,(212) 369-6643
Neighborhood Coalition For Shelter,"50 Broadway , New York, NY, 10004",10004,(512) 537-5100
New Alternatives For Children,"37 West 26th Street, , New York, NY, 10010",10010,(212) 684-0520
New Covenant Temple,"1805 Amsterdam Avenue, New York, NY, 10031",10031,(212) 926-4636
New York City Rescue Mission,"90 Lafayette Street, New York, NY, 10013",10013,(212) 226-6214
North Presbyterian Church Luice Monthly Community Meal,"525 West 155th Street, New York, NY, 10032",10032,(212) 926-0190
Our Lady Of Lourdes Church,"463 W 142nd St, New York, NY, 10031",10031,(212) 862-4380
Our Lady Of Sorrows,"213 Stanton Street, New York, NY, 10002",10002,(212) 673-0900
Primitive Christian Church,"207-209 East Broadway, New York, NY, 10002",10002,(212) 673-7868
CREAT Food Pantry,"73 Lenox Ave, New York, NY, 10026",10026,(212) 663-1975
Rauschenbusch Metro Ministries,"410 W. 40th Street, New York, NY, 10018",10018,(212) 594-4464
Riverside Church Food Pantry,"490 Riverside Drive, New York, NY, 10027",10027,(212) 870-6700
Sacred Heart Of Jesus Church,"457 W 51 Street, New York, NY, 10019",10019,(212) 265-5020
Safe Horizon Streetwork Project,"209 West 125th Street, New York, NY, 10027",10027,(212) 695-2220
Saint Luke''s Lutheran Church,"308 West 46th Street, New York, NY, 10036",10036,(212) 246-3540
Salvation Army Harlem Temple,"540 Lenox Avenue, New York, NY, 10037",10037,(212) 862-3900
Salvation Army New York Temple,"132 West 14th Street, New York, NY, 10011",10011,(212) 337-7469
Scan Ny La Guardia Memorial,"345 East 102nd Street , New York, NY, 10029",10029,(212) 289-8030
Southern Baptist Church,"12 W. 108th Street, New York, NY, 10025",10025,(212) 678-9769
St. Aloysius Food Pantry,"219 W. 132nd St., New York, NY, 10037",10037,(212) 234-2848
St. Charles Borromeo Church - St Vincent DePaul,"211 West 141st Street, New York, NY, 10030",10030,(212) 281-2100
St. Francis Xavier Mission,"55 W15th Street, New York, NY, 10011",10011,(212) 627-2100
St. Gregory''s Food Program,"144 W 90th Street, New York, NY, 10024",10024,(212) 724-9766
St. Ignatius Episcopal Church,"552 W. End Ave., New York, NY, 10024",10024,(212) 580-3326
St. John's Bread Of Life,"213 West 30th Street, New York, NY, 10001",10001,(212) 564-9070
St. Joseph's Greenwich Village,"371 6th Ave, New York, NY, 10014",10014,(212) 741-1274
St. Luke's Lutheran Church,"308 W. 46th Street, New York, NY, 10036",10036,(212) 246-3540
St. Mark The Evangelist Church,"65 West 138th Street, New York, NY, 10037",10037,(212) 281-4931
St. Mary's Church St. Vincent Pantry,"440 Grand Street, New York, NY, 10002",10002,(212) 674-3266
St. Mary's Episcopal Church,"521 West 126 Street, New York, NY, 10027",10027,(212) 864-4013
St. Matthew's - St. Timothy's Day Care,"26 West 84th Street, New York, NY, 10024",10024,(212) 362-6750
St. Paul's House,"335 W. 51st Street, New York, NY, 10019",10019,(212) 265-5433
St. Peter's Church,"619 Lexington Ave. At 54th Street, New York, NY, 10022",10022,(212) 935-2200
St. Peter's Episcopal Church,"346 W. 20th Street, New York, NY, 10011",10011,(212) 929-2390
St. Thomas Soup Kitchen,"1 W. 53rd Street, New York, NY, 10019",10019,(212) 757-7013
Isaacs Center,"415 E. 93rd St., New York, NY, 10128",10128,(212) 360-7620
Temple Shaaray Tefila,"250 E. 79th Street, New York, NY, 10075",10075,(212) 535-8008
The Bowery Mission - Soup Kitchen,"227 Bowery, New York, NY, 10002",10002,(212) 674-3456
"The Momentum Project, Inc. - Boom Health ","210 W 18th Street, New York, NY, 10011",10011,(212) 691-8100
The Riverside Church Food Pantry,"91 Claremont Avenue, New York, NY, 10027",10027,212-807-6833
Trinity Lutheran Church Of Manhattan,"164 West 100th Street, New York, NY, 10025",10025,(212) 222-7045
Trinity''s Services And Food For The Homeless,"602 E 9th St., New York, NY, 10009",10009,(212) 674-3872
Unitarian Church Of All Souls,"1157 Lexington Ave., New York, NY, 10075",10075,(212) 535-5530
Upper Manhattan Mental Health Center,"1727 Amsterdam Ave., New York, NY, 10031",10031,(212) 694-9200
Village Temple Soup Kitchen,"33 East 12th Street, New York, NY, 10003",10003,(212) 674-1744
Washington Heights Ecumenical Food Pantry,"4111 Broadway, New York, NY, 10033",10033,(212) 795-6860
West End Presbyterian Church,"165 W. 105th Street, New York, NY, 10025",10025,(212) 663-2900
West Side Campaign Against Hunger,"263 W. 86th St., New York, NY, 10024",10024,(212) 362-3662
Yorkville Common Pantry,"8 E. 109th Street, New York, NY, 10029",10029,(917) 720-9700
"Youth Action Programs And Homes, Inc.","206 E.118th Street, New York, NY, 10035",10035,(212) 860-8170
Greater Tabernacle Baptist Church,"340 Convent Ave, New York, NY, 10031",10031,(212) 368-4754
 Louise's Pantry at Nazareth Housing - Lower East Side,"206 East 4th Street, New York, NY, 10009",10009,(646) 713-2724
Mt. Zion A.M.E. Church After School Program,"1765 Madison Avenue, New York, NY, 10029",10029,(212) 369-6643
Beth Hark Christian Counseling Center,"2-26 E 120th St, New York, NY, 10035",10035,(212) 860-1523
A New Beginning International Ministry,"180 East 118th Street, New York, NY, 10035",10035,(212) 987-4319
Yorkville Common Pantry Soup Kitchen,"8 E 109th St, New York, NY, 10029",10029,(917) 720-9700
Salvation Army Manhattan Citadel,"175 E 125th Street, New York, NY, 10035",10035,(212) 860-3200
Crucifixion Food Pantry,"459 West 149 Street, New York, NY, 10031",10031,(212) 281-0900
National Council of Jewish Women New York,"241 West 72nd Street, New York, NY, 10023",10023,(212) 687-5030
New York Common Pantry,"8 East 109th Street, New York, NY, 10029",10029,(917) 720-9700
NY Common Pantry - Choice Pantry,"8 East 109th Street, New York, NY, 10029",10029,(917) 720-9700
Brookly Rescue Mission - Urban Harvest Center Food Pantry,"919 Gates Ave., New York, NY, 11221",11221,(917) 301-6747
Grand Street Settlement - Rutgers Community Center,"200 Madison Street, New York, NY, 10002",10002,(646) 666-3040
